Name,Author,Category,Created,Date,Finished,Image,Related to References (Source),Tags,Type
A Brief History of Neolibearlism,David Harvey (https://www.notion.so/David-Harvey-308b3ec8bd434251b3208b4d6eea55ee?pvs=21),"Economy, Politics","February 22, 2023 1:02 PM",,No,,,,High culture
A History of Mathematics,Luke Hodgkin (https://www.notion.so/Luke-Hodgkin-0f25aae6eed24ba1adf37926aef4c507?pvs=21),Mathematics,"February 22, 2023 1:37 PM",,No,,,,High culture
A Neural Substrate of Prediction and Reward,Wolfram Schultz (https://www.notion.so/Wolfram-Schultz-e4343027af8d4377bbf362bc6d7f493a?pvs=21),Psychology,"August 22, 2023 11:47 PM",,No,,,,Study
A Set of Postulates for the Foundation of Logic,Alonzo Chruch (https://www.notion.so/Alonzo-Chruch-d2caf852d9d94847b5e6350b20dac910?pvs=21),Logic,"February 22, 2023 1:35 PM",,No,,,,High culture
A treatise on Electricity & Magnetism,James Clerk Maxwell (https://www.notion.so/James-Clerk-Maxwell-57b1e930078d4e108a2f7b072c497cc3?pvs=21),Physics,"February 22, 2023 1:41 PM",,No,,,,High culture
"A unified conceptual framework of tasks, skills and competences",Margarida Rodrigues (https://www.notion.so/Margarida-Rodrigues-e252fd2fbd8e4de0915d81e778f7904f?pvs=21),Economy,"August 22, 2023 11:51 PM",,No,,,,Study
Advanced Blockchain Technology: Frameworks and Enterprise-Level Practices,,IT,"August 22, 2023 10:55 PM",,No,Sources%20fd19a5df72ea4bd8a0e7c115651f313d/Books%207c1a5739e26042f2834902dcce624a46/Advanced%20Blockchain%20Technology%20Frameworks%20and%20Ente%205e7ddccc0b604da7a78e14d7dbd561be/978-981-19-3596-1.jfif,,,Manual / Guide
Affluenza,Clive Hamilton (https://www.notion.so/Clive-Hamilton-51ee05e427df4046b9a8a75ccaf65bfc?pvs=21),Sociology,"May 7, 2022 3:42 PM",,No,Sources%20fd19a5df72ea4bd8a0e7c115651f313d/Books%207c1a5739e26042f2834902dcce624a46/Affluenza%207e9adc3b4a8442b1b8bac0e5d87a3d33/71pJka9pfTL.jpg,"Whenever a friend succeeds, a little something in me dies (https://www.notion.so/Whenever-a-friend-succeeds-a-little-something-in-me-dies-094204833913453fb2081979047336af?pvs=21), In recent years Australians have been acting as though they have found the answer what is the meaning of life - to own a big house and receive a $10 000 pay rise. But in quieter moments most of us would admit that we need much more if we are to live a fulfilling life. (https://www.notion.so/In-recent-years-Australians-have-been-acting-as-though-they-have-found-the-answer-what-is-the-meanin-28f03d77e14c40f699cb86926fd2c48c?pvs=21), The philosophers have only interpreted the world, in various ways; the point, however, is to change it. (https://www.notion.so/The-philosophers-have-only-interpreted-the-world-in-various-ways-the-point-however-is-to-change--7162213b4bf74c8688f08610598591fc?pvs=21), The 1960s and 1970s saw a flood of literature predicting a future in which technological progress would allow for us to work only a few hours a week and our main problem would be how best to enjoy our leisure. But, instead of witnessing the end of economics, we live in a time when economics and its concerns are more dominant than ever before. Instead of our growing wealth freeing us of our materialist preoccupations, it seems to have had the opposite effect. People in affluent countries are now even more obsessed with money and material acquisition, and the richer rhey are the more this seems to be the case. As a rule, no matter how much money people have they feel they need more. (https://www.notion.so/The-1960s-and-1970s-saw-a-flood-of-literature-predicting-a-future-in-which-technological-progress-wo-0bd76ec8e1854a4a85ec3ea8cadaad7c?pvs=21), “I hoped that getting to this income level would make me feel contented. I do have more stuff, but it doesn’t seem to have done the trick. I obviously need to set my goals higher. I’m sure I’ll be happy when I’m earning an extra $10 000 because then I’ll be able to buy the other things I want.” - Of course, raising the threshold of desire in this way creates an endless cycle of self-deception: like the horizon, our desires always seem to stay ahead of where we are. This cycle of hope and disappointrnent lies at the heart of consumer capitalism. Our new discontent causes us to set our goals higher still. (https://www.notion.so/I-hoped-that-getting-to-this-income-level-would-make-me-feel-contented-I-do-have-more-stuff-but-it-1be2ebf8400a478790aa77b6d658b4e1?pvs=21), Hedonic treadmill - people have to keep running in order to keep up with the others but never advance. The only way to win is to stop playing the game. (https://www.notion.so/Hedonic-treadmill-people-have-to-keep-running-in-order-to-keep-up-with-the-others-but-never-advanc-950f8c1614494e1ea11cc85eb988d03a?pvs=21), In addition to the rapid increase in consumer debt, higher levels of consumption are driving many Australians to work themselves sick. (https://www.notion.so/In-addition-to-the-rapid-increase-in-consumer-debt-higher-levels-of-consumption-are-driving-many-Au-ffe526cbbdf94d86970900862228625c?pvs=21), Extravagance serves as a device whereby the rich differentiate themselves from the mass of the population. One of the earliest commentators on this was Thorstein Veblen who coined the phrase ‘conspicuous consumption’ in his 1899 book “The Theory of the Leisure Class”. For their part, the masses watch the behaviour of the rich with a mixture of awe, envy and scorn. (https://www.notion.so/Extravagance-serves-as-a-device-whereby-the-rich-differentiate-themselves-from-the-mass-of-the-popul-97ba3152966c4de8acf994034330aec0?pvs=21), Surveys in which respondents were asked to define their social position have shown fewer and fewer people willing to identify themselves as working class. Indeed, 93 per cent of Australians believe they are in the middle-income bracket (that is, the middle 60 per cent) and only 6.4 per cent see themselves in the bottom 20 per cent and 0.7 per cent in the top 20 per cent. The confusion about the incomes of others is that emulation of the spending and consumption habits of the wealthy, which was once confined to the upper levels of the middle class. (https://www.notion.so/Surveys-in-which-respondents-were-asked-to-define-their-social-position-have-shown-fewer-and-fewer-p-81c922de3f094c99a17d628f34ca4212?pvs=21), Even people, on modest incomes aspire to Luis Vuitton - if not the handbag, at least the T-shirt. Television and magazines play a crucial role in this racheting-up process, not so much through advertising but more through presenting opulence as normal and attainable. (https://www.notion.so/Even-people-on-modest-incomes-aspire-to-Luis-Vuitton-if-not-the-handbag-at-least-the-T-shirt-Te-831d8a4eb27446a9b102ca49e8425663?pvs=21), There is a pathos about this desire for the symbols of status, one that seems to reflect a need to be loved and admired. (https://www.notion.so/There-is-a-pathos-about-this-desire-for-the-symbols-of-status-one-that-seems-to-reflect-a-need-to-b-b69360d7b21544239d0d75408bda3ef2?pvs=21), Having discarded the verities of a previous era, standards that, for all their faults, at least gave us a sense of who we were and how we fitted into society, we now float in a sea of ambiguity and insecurity. (https://www.notion.so/Having-discarded-the-verities-of-a-previous-era-standards-that-for-all-their-faults-at-least-gave-8281ed0ce0364a228d7a4ac595ed4fe9?pvs=21), Today, almost all buying is to some degree an attempt to create or renew a concept of self. The goods are secondary because first of all you buy into a brand, then you buy the products. CEO of Gucci says - “Luxury brands are more than the goods. The goods are secondary because first of all you buy into a brand, then you buy the products. They give people the opportunity to live a dream” (https://www.notion.so/Today-almost-all-buying-is-to-some-degree-an-attempt-to-create-or-renew-a-concept-of-self-The-good-6221771c49a04fcd955cd4ace5cbf744?pvs=21), A vast marketing infrastructure has developed to help us manufacture ideal selves and to supply the goods to fill the gap between the actual and the ideal. Clothes, cars, and houses are, perfect for providing the bridge between who we actually are and who we want to be seen to be because they act as the interface between the self and the world. (https://www.notion.so/A-vast-marketing-infrastructure-has-developed-to-help-us-manufacture-ideal-selves-and-to-supply-the--7c6b93875430447bb8b22841cdc7d842?pvs=21), The arguments and data show that successfully pursuing materialistic goals fails to increase one’s happiness  (https://www.notion.so/The-arguments-and-data-show-that-successfully-pursuing-materialistic-goals-fails-to-increase-one-s-h-08bced8a022d4c33bfbe80a2f0acdb3c?pvs=21), Materialistic values of wealth, status and image work against close interpersonal relationships and connection to others - two hallmarks of psychological health and high quality of life. The more materialistic we become the more we try to cope with our insecurities through consuming, and the less contented we are. It also suggests that more materialism means poorer relationships. (https://www.notion.so/Materialistic-values-of-wealth-status-and-image-work-against-close-interpersonal-relationships-and--543f77630f8c4f6684fe9b6e167a2beb?pvs=21), Despite the barrage of advertising that tries to tell us otherwise, the more materialistic we are the less free we are because we must commit more of our lives to working to pay for our material desires. (https://www.notion.so/Despite-the-barrage-of-advertising-that-tries-to-tell-us-otherwise-the-more-materialistic-we-are-th-8e880a2ddc1c40f1952994a534e3285c?pvs=21), The problem is not that people own things: the problem is that things own people. (https://www.notion.so/The-problem-is-not-that-people-own-things-the-problem-is-that-things-own-people-32da2a32cdfd427081867e4103a2b353?pvs=21), We argue that the obsessive pursuit of more and more fails to make us happy and that in pursuit people often sacrifice the things that really can make them happier.  (https://www.notion.so/We-argue-that-the-obsessive-pursuit-of-more-and-more-fails-to-make-us-happy-and-that-in-pursuit-peop-5b4e83d409a44b4a8f7c1fbbb5abe53b?pvs=21), People reach a point in their lives, some at eighteen and some at 88, when they ask, ‘Work, buy, consume, die: is that all there is?’ (https://www.notion.so/People-reach-a-point-in-their-lives-some-at-eighteen-and-some-at-88-when-they-ask-Work-buy-con-aae0a19b202b41a9a18b6b361b1f2b35?pvs=21), In the 1990s sunglasses became a symbol of identity, replacing the cigarette as the statement of cool. Two hundred dollars for a pair is now regarded as cheap. It is not unusual for young men and women with weekly incomes of $420 to spend $450 0n a pair of sunglasses and to own two or three pairs. (https://www.notion.so/In-the-1990s-sunglasses-became-a-symbol-of-identity-replacing-the-cigarette-as-the-statement-of-coo-fb494b00cd5b40a09aba273c328d7cfb?pvs=21), Exploiting the politics of feminism, the advertising campaign set out to create the belief that a right-hand ring symbolises freedom for women. In fact, the independence De Beers toured is more a manifestation of self-centred isolation: ‘Your left hand says we, your right hand says me’ runs one of the ads. “It is a token of love from you to yourself”. It would be hard to find a better definition of narcissism. (https://www.notion.so/Exploiting-the-politics-of-feminism-the-advertising-campaign-set-out-to-create-the-belief-that-a-ri-956f73433d7f4981b7535e41502f8f63?pvs=21), The growth in the number of single-parent families as a result of higher divorce rates has been carefully analysed in order to understand how consumption decisions are made when there is no adult partner to consult. (https://www.notion.so/The-growth-in-the-number-of-single-parent-families-as-a-result-of-higher-divorce-rates-has-been-care-f3fb9c33761948f9950069327f4d7687?pvs=21), Every anti-establishment cultural innovation, from rap music to rock climbing, is colonised and exploited the marketers. Rebellion has become one of the emotions targeted by marketers, who unashamedly turn attempts to escape the fetters of convention into their exact opposite. (https://www.notion.so/Every-anti-establishment-cultural-innovation-from-rap-music-to-rock-climbing-is-colonised-and-expl-73f5e729f2dd4ebda405cf90d633f53c?pvs=21), Parents often try to compensate for spending too much time away from their children by buying them things. (https://www.notion.so/Parents-often-try-to-compensate-for-spending-too-much-time-away-from-their-children-by-buying-them-t-4d9549a46a8d48baafb4d5111c7cb447?pvs=21), Much of the impulse to anthropomorphise pets finds its origins in the desire to demonstrate love for them, a desire that in more affluent markets, such as those of America and Australia, increasingly finds expression in an urge to ‘spoil’ pets. In the process, the owners project their desires onto their pets, and these desires must then be fulfilled. (https://www.notion.so/Much-of-the-impulse-to-anthropomorphise-pets-finds-its-origins-in-the-desire-to-demonstrate-love-for-10f94bab2284473f88ef591c84c39bae?pvs=21), The working lives of Australia’s best-paid psychologists are not devoted to treating the distress of people with psychological problems: they are devoted to developing ways of increasing consumers’ insecurity, vulnerability and obsessiveness. They work in marketing. Neoliberal economists insist that advertising is valuable because it provides information for consumers, but people working in the industry readily concede that it is far more effective to make people feel inadequate than it is to inform them about the useful features of a product. (https://www.notion.so/The-working-lives-of-Australia-s-best-paid-psychologists-are-not-devoted-to-treating-the-distress-of-2fc75f79532d4299a8cba3a6cbd3309a?pvs=21), Sometimes advertisers try to make us laugh or make us think, but mostly they make us feel deprived, inadequate or anxious. It is axiomatic that they make us feel bad in a way that can be cured by possession of the product they advertise. Lifestyle programs reinforce the message of advertising by making us feel discontented about the size of our house or the quality of our appliances. (https://www.notion.so/Sometimes-advertisers-try-to-make-us-laugh-or-make-us-think-but-mostly-they-make-us-feel-deprived--adce264e416b4319adba9c4dea7cb22f?pvs=21), With the advent of Botox, which really does get rid of wrinkles, makers of anti-wrinkle creams have begun to point out how much character older faces have. Wrinkles now need to be ‘softened’ rather than removed. (https://www.notion.so/With-the-advent-of-Botox-which-really-does-get-rid-of-wrinkles-makers-of-anti-wrinkle-creams-have--facab81f519d45adb3fbb83e79f427b6?pvs=21), Marketing has become the foundation on which large corporations are now built. They concentrate their efforts on creating and sustaining the intangible features of consumer products that give them most of their value, that is, the brand. (https://www.notion.so/Marketing-has-become-the-foundation-on-which-large-corporations-are-now-built-They-concentrate-thei-b2d47e0380d94112acf4146a261d2b37?pvs=21), ‘Orderly marketing is a built-in feature of how we do business in Australia. We have to keep our margins up. The Australian marketplace is too small to cut each other’s throats. If we get into a price war with competitors, the only winner is the customer’. (https://www.notion.so/Orderly-marketing-is-a-built-in-feature-of-how-we-do-business-in-Australia-We-have-to-keep-our-marg-8fa2d71494d54a89956f4411fe0abb37?pvs=21), The unspoken role of marketing is to keep consumers in the richest societies in human history feeling deprived. (https://www.notion.so/The-unspoken-role-of-marketing-is-to-keep-consumers-in-the-richest-societies-in-human-history-feelin-6be4cdbed98742ecaf057531241928e7?pvs=21), To be successful in the long term, advertising must sell not only products but also a very particular kind of world view - one where happiness can be bought, where problems can be solved by a product, and where having more things is the measure of success. (https://www.notion.so/To-be-successful-in-the-long-term-advertising-must-sell-not-only-products-but-also-a-very-particula-9ad5dd3ddaf14941aa92c520df7ac947?pvs=21), Buying products… we are forced to choose and to wrestle with a suspicion that we are probably being ripped off. If we had the time to carry out systematic market research we could probably save ourselves a few dollars, but we would have to repeat the process every few months to keep up with the market. Faced with this proliferation of choice, most consumers just feel confused. If anyone actually behaved in this ‘rational’ way we would think they needed to get a life. (https://www.notion.so/Buying-products-we-are-forced-to-choose-and-to-wrestle-with-a-suspicion-that-we-are-probably-being--f8597e4e7ad348628527312d68ecfeb6?pvs=21), If you think what Pavlov did, he actually took a neutral object and, by associating it with a meaningful object, made it a symbol of something else; Advertisers persistently link margarine with images of happy families, healthy children and ‘quality time’. Breakfasts are made, kids jump on parents’ beds, and the sun streams through the windows. The approach works because it is the emotion, not the margarine, that is being sold. Ads for cars rarely show more than one car on the road at a time. In defiance of the realiry of being stuck in a traffic jam, cars are often sold as symbols of freedom - the freedom to go wherever you want, whenever you want and usually, on the ads at least, as fast as you want. (https://www.notion.so/If-you-think-what-Pavlov-did-he-actually-took-a-neutral-object-and-by-associating-it-with-a-meanin-84aa835791d1417581b302c2c8f46f8c?pvs=21), One of the striking tendencies of human beings is to act, judge, believe or vote on strictly instinctive, emotional grounds, and then, after the act is committed, to try to justify or defend it by intellectual or logical reasons. Advertisers have become adept at playing to the heart while providing excuses for the head. (https://www.notion.so/One-of-the-striking-tendencies-of-human-beings-is-to-act-judge-believe-or-vote-on-strictly-instinc-80c553b7fe3c43bd961198b468e7cbc2?pvs=21), Our marketing culture has done something profound right under our noses: it has redefined happiness itself. In place of the time-honoured belief that a happy life is one of fulfilment acquired through developing our capacities, cultivating personal relatinnships and adhering to a moral code, people today have been persuaded that a happy life is one in which we maximise the number of episodes of emotional and physical pleasure, however fleeting they might be. (https://www.notion.so/Our-marketing-culture-has-done-something-profound-right-under-our-noses-it-has-redefined-happiness--7eb48316ecb243d2851737d03a52bd59?pvs=21), Modern marketers often aim their advertising at children in the belief that the children will then play on their parents’ weaknesses and cajole them into selling children’s products: it is also designed to sell adult goods - including cars, home appliances and holidays. Juliet Schor, one of the most vocal critics of the US advertising industry’s increasing focus on children, argues that marketers see children not just as a lucrative demographic but also as the weakest link in the defences families build up to protect themselves against marketing. (https://www.notion.so/Modern-marketers-often-aim-their-advertising-at-children-in-the-belief-that-the-children-will-then-p-db9a33a4847b4066a05985eec94dca64?pvs=21), A subsequent advertisement showed close-ups of children playing in the ‘dirty’ backyard, touching, among other things, a tennis ball that had been in a dog’s mouth. A naive viewer might think this is an appeal to anxious parents, but the object is actually to create anxious children. Fear is instilled in the children, and they are then provided with the argument they need to convince their parents to buy a particular product. (https://www.notion.so/A-subsequent-advertisement-showed-close-ups-of-children-playing-in-the-dirty-backyard-touching-a-16fff11f46b54d36a43fe8d6c5edd851?pvs=21), The kids decide what’s cool, and parents don’t want to seem out of touch, so they listen. Sometimes, the child literally is our customer. I have watched the child pick out the car. And I have seen people go from a Taurus to an Explorer in the blink of an eye because the kid didn’t want to be seen in a station wagon. One industry estimate has it that 67 per cent of parents car purchases are influenced by children. (https://www.notion.so/The-kids-decide-what-s-cool-and-parents-don-t-want-to-seem-out-of-touch-so-they-listen-Sometimes--b6c0a3e8e8d343fbbecb6d1e98222eff?pvs=21), Advertising at its best is making people feel that, without their product, you’re a loser. Kids are very sensitive to that. If you tell them to buy something, they are resistant. But if you tell them they’II be a dork if they don’t, you’ve got their attention. You open up emotional vulnerabilities, and it’s easy to do with kids because they’re the most vulnerable. (https://www.notion.so/Advertising-at-its-best-is-making-people-feel-that-without-their-product-you-re-a-loser-Kids-are--b1ee1bf32e334de89d67b676dc4fed60?pvs=21), The president of toy retailer Kids-R-Us once said, ‘If you own this child at an early age, you can own this child for years to come. Companies are saying “Hey, I want to own the kid younger and younger”. (https://www.notion.so/The-president-of-toy-retailer-Kids-R-Us-once-said-If-you-own-this-child-at-an-early-age-you-can-o-2cff505dddbe4d90a564a3ee4f2f43a1?pvs=21), Comments from a tobacco markering executive: …a new brand aimed at the young smoker must somehow become the “in” brand and its promotion should emphasise togetherness, belonging and group acceptance, while at the same time emphasising individuality and ‘doing one’s own thing’. The teens and early twenties are periods of intense psychological stress, restlessness and boredom. Many socially awkward situations are encountered. The minute or two required to stop and light a cigarette, ask for a light, find an ash tray, and the like provide something to do during periods of awkwardness and boredom. (https://www.notion.so/Comments-from-a-tobacco-markering-executive-a-new-brand-aimed-at-the-young-smoker-must-somehow-bec-da5b24f6c2c746c1832645096276d8ee?pvs=21), Concern is being expressed about the way advertising depicts parents as obstacles for children to get around rather than as figures of authority whose opinions should be respected. (https://www.notion.so/Concern-is-being-expressed-about-the-way-advertising-depicts-parents-as-obstacles-for-children-to-ge-cff903fa986e44238ad0c091a006d9dd?pvs=21), Advertisers are more aware than anyone of many children’s need to see themselves as cool. But, to create a desire for a cool new product, the marketer must first engender discontent among the children who do not have the latest toy, sports shoe or breakfast cereal. (https://www.notion.so/Advertisers-are-more-aware-than-anyone-of-many-children-s-need-to-see-themselves-as-cool-But-to-cr-87a39b48be3142878905531c3f8dd875?pvs=21), Nearly half the world’s 8- to 12-year-old urban tweens say the clothes and brands they wear describe who they are and define their social status. (https://www.notion.so/Nearly-half-the-world-s-8-to-12-year-old-urban-tweens-say-the-clothes-and-brands-they-wear-describe-fb1dae69e58347c3848735103b6b5826?pvs=21), The desire for fame is a reflection of the broader trend in consumer societies to set ourselves external goals such as wealth, fame and physical attractiveness in place of intrinsic goals such as better relationships, self-development and participation in community. Celebrity appears to be the opposite of what tweens fear most - rejection and social isolation. To gain acceptance they will go to extreme lengths. (https://www.notion.so/The-desire-for-fame-is-a-reflection-of-the-broader-trend-in-consumer-societies-to-set-ourselves-exte-4b3d997660ad4807bfe67c4f23ed82aa?pvs=21), The trouble with the rat race is, even if you win, you are still a rat. (https://www.notion.so/The-trouble-with-the-rat-race-is-even-if-you-win-you-are-still-a-rat-b2f984f1120d4a5385f284b9211d7205?pvs=21), Psychologists who treat people with compulsive shopping disorders often begin by helping them understand the difference between wants and needs. Breaking the link is a vital stage in the therapeutic process, although in order to do it the therapist must dissolve a deeper association - between the acquisition of goods and a sense of self-worth, which is preciseiy the association advertisers labour to create. One group of psychologists works hard at trying to cure the disorders caused by another. (https://www.notion.so/Psychologists-who-treat-people-with-compulsive-shopping-disorders-often-begin-by-helping-them-unders-06e7c7525b5045efba7d75c67143442c?pvs=21), In rich countries increases in material standards of living are not associated with increases in life satisfaction. (https://www.notion.so/In-rich-countries-increases-in-material-standards-of-living-are-not-associated-with-increases-in-lif-ea6eb6a1016a46bcbfb5486d9eaee9d0?pvs=21), The problem of affluenza is not so much that we consume too much but that we measure our lives in terms of money and material things. (https://www.notion.so/The-problem-of-affluenza-is-not-so-much-that-we-consume-too-much-but-that-we-measure-our-lives-in-te-426ba78ce3f341f68d136e0dd9bbc013?pvs=21), Perhaps the most pervasive aspect of the marketing of debt has been dissemination of the idea that debt results in people acquiring more, rather than fewer, things. (https://www.notion.so/Perhaps-the-most-pervasive-aspect-of-the-marketing-of-debt-has-been-dissemination-of-the-idea-that-d-11c40bab41f24d86a9d9540b8fed51b9?pvs=21)",,High culture
AQA Psychology for A level,,Psychology,"August 22, 2023 10:50 PM",,No,Sources%20fd19a5df72ea4bd8a0e7c115651f313d/Books%207c1a5739e26042f2834902dcce624a46/AQA%20Psychology%20for%20A%20level%20db0ad324d4fd4705ae02486763c5fb74/71cX0RIC9BL._AC_UF10001000_QL80_.jpg,,,Textbook
Autobiographical context for crimes of the powerful,,Economy,"August 22, 2023 11:53 PM",,No,,,,Article
